proposed_use,existing_construction_type,status_date,proposed_units,proposed_construction_type,permit_number,description,revised_cost,street_name,supervisor_district,street_suffix,lot,filed_date,plansets,block,number_of_existing_stories,number_of_proposed_stories,neighborhoods_analysis_boundaries,permit_type_definition,permit_type,permit_creation_date,zipcode,record_id,proposed_construction_type_description,estimated_cost,street_number,existing_use,existing_units,location,status,existing_construction_type_description
2 family dwelling,5,2021-07-02T00:00:00.000,2,5,202107023704,"repair part of fooring damaged by water. section of bldg with damage will be supported w/ adjustable posts. damaged footing wll be removed, studs shortened 1 ft at base and sill place replaced. new reinforced concrete footing w/ installed at same depth but 1 ft higher and anchored to (e) footing",0,15th,8,St,106,2021-07-02T00:00:00.000,2,3561,3,3,Castro/Upper Market,otc alterations permit,8,2021-07-02T00:00:00.000,94114,1620140447318,wood frame (5),42000,2225,2 family dwelling,2,"{coordinates:[-122.43388264512731,37.765576477380336],type:Point}",filed,wood frame (5)
1 family dwelling,5,2021-07-02T00:00:00.000,1,5,202107023661,reroofing.,6000,45th,4,Av,005,2021-07-02T00:00:00.000,0,2446,2,2,Sunset/Parkside,otc alterations permit,8,2021-07-02T00:00:00.000,94116,1620092136475,wood frame (5),6000,2519,1 family dwelling,1,"{coordinates:[-122.50371758968072,37.73952126618209],type:Point}",issued,wood frame (5)
2 family dwelling,5,2021-07-02T00:00:00.000,2,5,202107023703,reroofing,24000,Guerrero,8,St,056,2021-07-02T00:00:00.000,0,6594,2,2,Noe Valley,otc alterations permit,8,2021-07-02T00:00:00.000,94110,1620139437862,wood frame (5),24000,1510,2 family dwelling,2,"{coordinates:[-122.42270056407872,37.74688545573436],type:Point}",issued,wood frame (5)
apartments,5,2021-07-02T00:00:00.000,25,5,202107023674,revision to pa# 202106233012. reduce scope of work in kitchen. replace counter. replace (e) bath tub with new at same location inside bathroom. unit 201,1,Taylor,3,St,005,2021-07-02T00:00:00.000,0,0214,5,5,Nob Hill,otc alterations permit,8,2021-07-02T00:00:00.000,94108,1620106232846,wood frame (5),1,1225,apartments,25,"{coordinates:[-122.41330480376962,37.79377378775563],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-07-02T00:00:00.000,1,5,202107023726,to partially comply with nov 202175602 drawings revison document all changes pa 201810185586 legalize new windows previously approved (5) docement change to stairway show (e) mech closet,0,Naples,11,St,001,2021-07-02T00:00:00.000,2,6008,2,2,Excelsior,otc alterations permit,8,2021-07-02T00:00:00.000,94112,1620166193768,wood frame (5),1000,200,1 family dwelling,1,"{coordinates:[-122.4279578255807,37.72539411033306],type:Point}",filed,wood frame (5)
apartments,2,2021-07-02T00:00:00.000,59,2,202107023744,"remodel two bath(hall and master) no structural change. & 1 laundry, no layout change.",30000,Fallon,3,Pl,079,2021-07-02T00:00:00.000,0,0149,11,11,Nob Hill,otc alterations permit,8,2021-07-02T00:00:00.000,94133,162018660660,constr type 2,30000,2,apartments,59,"{coordinates:[-122.41309726071096,37.797773090558415],type:Point}",issued,constr type 2
,,2021-07-02T00:00:00.000,,,M1225407,"per pa #202101122517, one adu at ground fl, add address to block 2691, lot 037c as; 4445a 18th street.",243.66,18th,8,St,037C,2021-07-02T00:00:00.000,,2692,,,Castro/Upper Market,otc alterations permit,8,2021-07-02T00:00:00.000,94114,1620131518574,,,4445,,,"{coordinates:[-122.43908432046757,37.760450968000576],type:Point}",issued,
apartments,5,2021-07-02T00:00:00.000,5,5,202107023670,to obtain final inspection for pa 201711073343. all work completed. soft story upgrade,1,Page,5,St,016,2021-07-02T00:00:00.000,0,1222,3,3,Haight Ashbury,otc alterations permit,8,2021-07-02T00:00:00.000,94117,1620102280039,wood frame (5),50000,1476,apartments,5,"{coordinates:[-122.44506422555278,37.77143731396474],type:Point}",issued,wood frame (5)
office,1,2021-07-02T00:00:00.000,0,1,202107023743,3rd fl - add 3 sprinklers per ti; 6th fl - add 2 sprinklers per ti ref pa 2020-1201-9912.,2625,Market,6,St,006,2021-07-02T00:00:00.000,2,3713,11,11,Financial District/South Beach,otc alterations permit,8,2021-07-02T00:00:00.000,94105,1620185164604,constr type 1,2625,1,office,0,"{coordinates:[-122.39508855330547,37.79381894740199],type:Point}",filed,constr type 1
office,5,2021-07-02T00:00:00.000,0,5,202107023728,"3rd floor interior t.i.  remove a few non-bearing partition walls, add a new kitchenette.",0,Montgomery,3,St,001,2021-07-02T00:00:00.000,2,0195,4,4,Chinatown,otc alterations permit,8,2021-07-02T00:00:00.000,94111,162016862223,wood frame (5),115000,735,office,0,"{coordinates:[-122.40375498456564,37.7962162798762],type:Point}",filed,wood frame (5)
1 family dwelling,5,2021-07-02T00:00:00.000,1,5,202107023680,remodel 2 bathrooms one with shower pan in kind at 2nd floor. no structural work.,29000,Lakeview,11,Av,021,2021-07-02T00:00:00.000,0,7052,2,2,Oceanview/Merced/Ingleside,otc alterations permit,8,2021-07-02T00:00:00.000,94112,1620113219275,wood frame (5),29000,551,1 family dwelling,1,"{coordinates:[-122.4551755483219,37.71803630287295],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-07-02T00:00:00.000,1,5,202107023713,"build new bedroom, bath, living, kitchen on ground flr. rebuild interior stair. remodel 2nd flr bedrooms and bathrooms. replace (e) garage doors with windows. remove windows in rear of property. pour new gradebeam and concrete slab on ground floor.",0,Harlow,8,St,084,2021-07-02T00:00:00.000,2,3565,2,2,Castro/Upper Market,otc alterations permit,8,2021-07-02T00:00:00.000,94114,1620150514488,wood frame (5),50000,18,1 family dwelling,1,"{coordinates:[-122.42952692406737,37.76422826007893],type:Point}",filed,wood frame (5)
office,5,2021-07-02T00:00:00.000,0,5,202107023715,"legitimize 7500 sf (e) office at 2700 19th st, per planning dept letter",0,York,10,St,004,2021-07-02T00:00:00.000,2,4023,2,2,Mission,otc alterations permit,8,2021-07-02T00:00:00.000,94110,1620153497265,wood frame (5),1,660,office,0,"{coordinates:[-122.4093715632466,37.76082019296318],type:Point}",filed,wood frame (5)
apartments,5,2021-07-02T00:00:00.000,3,5,202107023701,reroofing,58200,Roosevelt,8,Wy,055,2021-07-02T00:00:00.000,0,2614,2,2,Castro/Upper Market,otc alterations permit,8,2021-07-02T00:00:00.000,94114,1620137245511,wood frame (5),58200,231,apartments,3,"{coordinates:[-122.43982302467623,37.76600479380157],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-07-02T00:00:00.000,1,5,202107023708,"replace existing vinyl siding to back wall only with new hardie siding. no structural changed. replace 4 window on back wall with vinyl window. no  structural changed, same size, no enlargement, u factor max 0.30. no visible from street.",12000,Saint Charles,7,Av,019,2021-07-02T00:00:00.000,0,7179,2,2,Oceanview/Merced/Ingleside,otc alterations permit,8,2021-07-02T00:00:00.000,94132,1620144224055,wood frame (5),12000,306,1 family dwelling,1,"{coordinates:[-122.46944610066245,37.70846781358526],type:Point}",issued,wood frame (5)
2 family dwelling,5,2021-07-02T00:00:00.000,2,5,202107023720,r,36000,15th,1,Av,003,2021-07-02T00:00:00.000,0,1629,2,2,Outer Richmond,otc alterations permit,8,2021-07-02T00:00:00.000,94118,1620159390611,wood frame (5),36000,623,2 family dwelling,2,"{coordinates:[-122.47400408925103,37.776290526222965],type:Point}",issued,wood frame (5)
2 family dwelling,5,2021-07-02T00:00:00.000,2,5,202107023676,reroofing.,26000,Highland,9,Av,039,2021-07-02T00:00:00.000,0,5718,3,3,Bernal Heights,otc alterations permit,8,2021-07-02T00:00:00.000,94110,1620108187676,wood frame (5),26000,122,2 family dwelling,2,"{coordinates:[-122.42329667978325,37.73714655814291],type:Point}",issued,wood frame (5)
2 family dwelling,5,2021-07-02T00:00:00.000,2,5,202107023664,"replacing 4 street facing windows in kind and 8 non street facing windows. (e) wood with new aluminum clad. same size, no rough opening changes. u-factor <0.30 operation of street facing windows to be double hung with ogee lugss.",39896,Eddy,5,St,015,2021-07-02T00:00:00.000,0,1126,3,3,Western Addition,otc alterations permit,8,2021-07-02T00:00:00.000,94115,1620095366900,wood frame (5),39896,1982,2 family dwelling,2,"{coordinates:[-122.4402763756018,37.78070096293497],type:Point}",issued,wood frame (5)
office,5,2021-07-02T00:00:00.000,0,5,202107023715,"legitimize 7500 sf (e) office at 2700 19th st, per planning dept letter",0,19th,10,St,004,2021-07-02T00:00:00.000,2,4023,2,2,Mission,otc alterations permit,8,2021-07-02T00:00:00.000,94110,1620154168821,wood frame (5),1,2700,office,0,"{coordinates:[-122.4093715632466,37.76082019296318],type:Point}",filed,wood frame (5)
1 family dwelling,5,2021-07-02T00:00:00.000,1,5,202107023731,kitchen and bathroom remodel,40000,Mercato,7,Ct,013,2021-07-02T00:00:00.000,2,3033,2,2,West of Twin Peaks,otc alterations permit,8,2021-07-02T00:00:00.000,94131,1620173150548,wood frame (5),40000,2,1 family dwelling,1,"{coordinates:[-122.44274559733026,37.735276689738356],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-07-02T00:00:00.000,1,5,202107023692,"new rooms at (e) gargae sheel space. 1 car garage space to be preserved, demo of an (e) unconditioned room at 1st fl. new less steep internal stair at (e)  location. remove 1 front window, 1 new window at rear.",0,Marview,7,Wy,023,2021-07-02T00:00:00.000,2,2785,2,2,Twin Peaks,otc alterations permit,8,2021-07-02T00:00:00.000,94131,1620125144157,wood frame (5),75000,104,1 family dwelling,1,"{coordinates:[-122.44920414460273,37.754065314900686],type:Point}",filed,wood frame (5)
1 family dwelling,5,2021-07-02T00:00:00.000,1,5,202107023677,replace (1) street facing window (e) vinyl (n) wood aluminum clad and (1) non-street facing window (e) vinyl (n) wood composite. vision and lights remain the same.,11493,23rd,4,Av,030,2021-07-02T00:00:00.000,0,1868,2,2,Sunset/Parkside,otc alterations permit,8,2021-07-02T00:00:00.000,94122,1620109117997,wood frame (5),11493,1546,1 family dwelling,1,"{coordinates:[-122.48075652750882,37.75875990117211],type:Point}",issued,wood frame (5)
1 family dwelling,5,2021-07-02T00:00:00.000,1,5,202107023667,reroofing - slope roof-product unit weight shall not exceed 5psf,28000,Steiner,5,St,012,2021-07-02T00:00:00.000,0,0798,3,3,Hayes Valley,otc alterations permit,8,2021-07-02T00:00:00.000,94117,1620098399897,wood frame (5),28000,818,1 family dwelling,1,"{coordinates:[-122.43279476831324,37.77718107187155],type:Point}",issued,wood frame (5)
2 family dwelling,5,2021-07-02T00:00:00.000,2,5,202107023688,rev to pa202011209351: additoinal retaining walls to be replace due to (e) fialing concrete conditions.,0,Precita,9,Av,103,2021-07-02T00:00:00.000,2,5517,2,2,Bernal Heights,otc alterations permit,8,2021-07-02T00:00:00.000,94110,1620122454766,wood frame (5),12000,160,2 family dwelling,2,"{coordinates:[-122.41678298160885,37.74699536697037],type:Point}",filed,wood frame (5)
1 family dwelling,5,2021-07-02T00:00:00.000,1,5,202107023686,"revision to pa 2019-0205-2082 s1 - add hot tub @ deck, widen stair from deck to grade and add gas heaters @ deck",4500,San Jose,11,Av,025,2021-07-02T00:00:00.000,2,6778,2,2,Outer Mission,otc alterations permit,8,2021-07-02T00:00:00.000,94112,1620118212888,wood frame (5),4500,1785,1 family dwelling,1,"{coordinates:[-122.43936100175087,37.72899950571428],type:Point}",filed,wood frame (5)
food/beverage hndlng,5,2021-07-02T00:00:00.000,20,5,202107023716,"t.i.: remodel of extg bar. replace extg bar, bar top, equipment, and finishes. remodel extg bathrooms for accessibilty. remove extg plaster ceiling finish to repair plumbing leak and replace with new  gypsum wall board assembly.",0,Judah,4,St,037,2021-07-02T00:00:00.000,2,1806,3,3,Sunset/Parkside,otc alterations permit,8,2021-07-02T00:00:00.000,94122,1620155281309,wood frame (5),140000,4207,food/beverage hndlng,20,"{coordinates:[-122.50732746587597,37.7601149948206],type:Point}",filed,wood frame (5)
2 family dwelling,5,2021-07-02T00:00:00.000,2,5,202107023709,expansion of existing backyard decks from 4' x 5' to 12' x 17'. install two level spiral staircase.,,Guerrero,8,St,031J,2021-07-02T00:00:00.000,2,3555,2,2,Mission,additions alterations or repairs,3,2021-07-02T00:00:00.000,94103,1620147375465,wood frame (5),25000,353,2 family dwelling,2,"{coordinates:[-122.42385125059596,37.765643028654246],type:Point}",filed,wood frame (5)
food/beverage hndlng,5,2021-07-02T00:00:00.000,1,5,202107023712,accessible business entrance program per oridinance 51-16. install new outward swinging 36x85 door with int/ext power door actuators.,7000,23rd,9,St,048,2021-07-02T00:00:00.000,2,3643,2,2,Mission,otc alterations permit,8,2021-07-02T00:00:00.000,94110,1620151362074,wood frame (5),7000,3349,food/beverage hndlng,1,"{coordinates:[-122.41947583267446,37.7536510725685],type:Point}",filed,wood frame (5)
2 family dwelling,5,2021-07-02T00:00:00.000,2,5,202107023733,replace damaged stucco in kind at front of building,20000,24th,1,Av,031,2021-07-02T00:00:00.000,0,1455,3,3,Outer Richmond,otc alterations permit,8,2021-07-02T00:00:00.000,94121,1620175390090,wood frame (5),20000,418,2 family dwelling,2,"{coordinates:[-122.48348165995799,37.78166426985579],type:Point}",filed,wood frame (5)
